"source","age","lon","lat"
"Lamont","Juv",-86.8574984371493,30.3787590891853
"Lamont","Juv",-86.8574989421312,30.3787563682075
"Lamont","Juv",-86.8574436445579,30.3785800551795
"Lamont","Juv",-86.8573871781997,30.3784302374288
"Lamont","Juv",-86.8567799698337,30.3776006050234
"Lamont","Juv",-86.8563884262229,30.3779617161501
"Lamont","Juv",-86.856298929427,30.3782025654537
"Lamont","Juv",-86.8562521547868,30.3785768613397
"Lamont","Juv",-86.8562493990311,30.3789455041731
"Lamont","Juv",-86.8563625871061,30.3796229714036
"Lamont","Juv",-86.8564867468519,30.380097567552
"Lamont","Juv",-86.8582325932692,30.3831409457409
"Lamont","Juv",-86.8583252894031,30.3833953173398
"Lamont","Juv",-86.8555455739942,30.3844845748783
"Lamont","Juv",-86.8554698516254,30.3841965736076
"Lamont","Juv",-86.8559145888433,30.3829704151307
"Lamont","Juv",-86.8550752568881,30.3847034559479
"Lamont","Juv",-86.8549957572387,30.3848480181695
"Lamont","Juv",-86.8537779301029,30.382473196225
"Lamont","Juv",-86.8525817818697,30.3821333468533
"Lamont","Juv",-86.8523951276589,30.3820969062438
"Lamont","Juv",-86.850879240521,30.3825630887279
"Lamont","Juv",-86.85044835876,30.3826799986064
"Lamont","Juv",-86.8460803652962,30.3827260917854
"Lamont","Juv",-86.8457941820113,30.3827250923816
"Lamont","Juv",-86.8448227118216,30.3825335805456
"Lamont","Juv",-86.8529076077559,30.3764049276845
"Lamont","Juv",-86.8571422003144,30.375768769235
"Lamont","Juv",-86.8630622787363,30.3760228370057
"Lamont","Juv",-86.8722261652453,30.3770527098636
"Lamont","Juv",-86.880952171248,30.377234331445
"Lamont","Juv",-86.8891587423872,30.3764199826972
"Lamont","Juv",-86.8806106768063,30.3765676416182
"Lamont","Juv",-86.8719191504542,30.3760927457771
"Lamont","Juv",-86.870162507584,30.3759599621881
"Lamont","Juv",-86.8638809705913,30.3750894577446
"Lamont","Juv",-86.8579379114413,30.3742094155975
"Lamont","Juv",-86.855888209681,30.3795669274576
"Lamont","Juv",-86.8558028261128,30.3798149979099
"Lamont","Juv",-86.8594014161396,30.3786502401517
"Lamont","Juv",-86.8599976161323,30.3783822867352
"Lamont","Juv",-86.8585139835971,30.3783744641394
"Lamont","Juv",-86.8582304558295,30.3783902712965
"Lamont","Juv",-86.8573478896281,30.3785922807018
"Lamont","Juv",-86.8570829408592,30.3786751547491
