DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt
181925,181925,0.500000,UT,1.00a,,00:48:05 10-Nov-2019,,B,-25.4899,-48.4233,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,00:48:20 10-Nov-2019,,B,-25.4899,-48.4233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,1.00a,,01:28:12 10-Nov-2019,,A,-25.4894,-48.4314,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,01:28:27 10-Nov-2019,,A,-25.4894,-48.4314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,01:28:47 10-Nov-2019,,A,-25.4894,-48.4314,,,,,,,,,25.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,19:44:50 10-Nov-2019,,B,-25.4898,-48.4270,,,,,,3.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,21:43:16 10-Nov-2019,,B,-25.4874,-48.4278,,,,,,3.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,22:32:02 10-Nov-2019,,A,-25.4900,-48.4275,,,,,,,,,25.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,21:32:18 11-Nov-2019,,1,-25.5007,-48.4596,,,,,,,,,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181925,181925,0.500000,UT,,,21:32:50 11-Nov-2019,,1,-25.5007,-48.4596,,,,,20626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
