cor,Region,Method
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
-0.355,Brazil_all,HGPR_corr
-0.069,Brazil_all,HGPR_corr
0.522,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
-0.51,Brazil_all,HGPR_corr
-0.472,Brazil_all,HGPR_corr
-0.433,Brazil_all,HGPR_corr
0.056,Brazil_all,HGPR_corr
0.213,Brazil_all,HGPR_corr
0.164,Brazil_all,HGPR_corr
-0.041,Brazil_all,HGPR_corr
0.031,Brazil_all,HGPR_corr
0.528,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
NA,Brazil_all,HGPR_corr
-0.604,Brazil_all,HGPR_corr
-0.792,Brazil_all,HGPR_corr
-0.381,Brazil_all,HGPR_corr
0.097,Brazil_all,HGPR_corr
0.744,Brazil_all,HGPR_corr
0.701,Brazil_all,HGPR_corr
0.265,Brazil_all,HGPR_corr
0.321,Brazil_all,HGPR_corr
0.813,Brazil_main,HGPR_corr
0.957,Brazil_main,HGPR_corr
0.813,Brazil_main,HGPR_corr
0.813,Brazil_main,HGPR_corr
0.813,Brazil_main,HGPR_corr
0.813,Brazil_main,HGPR_corr
0.701,Brazil_main,HGPR_corr
0.701,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
0.522,Brazil_main,HGPR_corr
0.834,Brazil_main,HGPR_corr
0.821,Brazil_main,HGPR_corr
0.847,Brazil_main,HGPR_corr
0.522,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
0.522,Brazil_main,HGPR_corr
0.601,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
0.701,Brazil_main,HGPR_corr
0.522,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
0.406,Brazil_main,HGPR_corr
0.406,Brazil_main,HGPR_corr
0.701,Brazil_main,HGPR_corr
0.813,Brazil_main,HGPR_corr
0.701,Brazil_main,HGPR_corr
0.701,Brazil_main,HGPR_corr
0.798,Brazil_main,HGPR_corr
0.528,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
NA,Brazil_main,HGPR_corr
0.701,Brazil_main,HGPR_corr
0.701,Brazil_main,HGPR_corr
0.813,Brazil_main,HGPR_corr
0.701,Brazil_main,HGPR_corr
0.813,Brazil_main,HGPR_corr
0.701,Brazil_main,HGPR_corr
0.813,Qatar,HGPR_corr
0.888,Qatar,HGPR_corr
0.813,Qatar,HGPR_corr
0.522,Qatar,HGPR_corr
0.683,Qatar,HGPR_corr
NA,Qatar,HGPR_corr
NA,Qatar,HGPR_corr
