Age.Class,cor,Region,Method
Juv,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,-0.277,Brazil_all,Age
Adult,-0.265,Brazil_all,Age
Adult,0.522,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,-0.51,Brazil_all,Age
Adult,-0.407,Brazil_all,Age
Adult,-0.407,Brazil_all,Age
Adult,-0.213,Brazil_all,Age
Adult,-0.123,Brazil_all,Age
Adult,-0.097,Brazil_all,Age
Adult,-0.216,Brazil_all,Age
Adult,-0.2,Brazil_all,Age
Adult,0.701,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,NA,Brazil_all,Age
Adult,-0.515,Brazil_all,Age
Adult,-0.731,Brazil_all,Age
Adult,-0.472,Brazil_all,Age
Adult,-0.13,Brazil_all,Age
Adult,0.634,Brazil_all,Age
Adult,0.522,Brazil_all,Age
Adult,0.068,Brazil_all,Age
Adult,0.112,Brazil_all,Age
Juv,0.847,Brazil_main,Age
Juv,0.963,Brazil_main,Age
Juv,0.874,Brazil_main,Age
Juv,0.847,Brazil_main,Age
Juv,0.589,Brazil_main,Age
Juv,0.874,Brazil_main,Age
Juv,0.768,Brazil_main,Age
Juv,0.528,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,0.406,Brazil_main,Age
Juv,0.55,Brazil_main,Age
Juv,0.775,Brazil_main,Age
Juv,0.755,Brazil_main,Age
Juv,0.406,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,0.406,Brazil_main,Age
Juv,0.669,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
Juv,NA,Brazil_main,Age
