scale,cor,Region
20,NA,Qatar
20,NA,Qatar
20,0.888,Qatar
20,0.778,Qatar
20,0.701,Qatar
20,NA,Qatar
20,0.51,Qatar
40,0.483,Qatar
40,0.245,Qatar
40,0.505,Qatar
40,0.548,Qatar
40,0.733,Qatar
40,0.775,Qatar
40,NA,Qatar
40,NA,Qatar
40,NA,Qatar
40,NA,Qatar
40,0.872,Qatar
40,0.393,Qatar
40,0.548,Qatar
40,NA,Qatar
40,0.409,Qatar
