DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Green,162055,Mk10,DS,1,0,0,,,01:00:25 18-Apr-2017,SR,B,25.4086,-80.2956,25.4086,-80.2956,8,,401677375,-127
Green,162055,Mk10,DS,1,0,0,,,08:31:01 18-Apr-2017,NP,B,25.4112,-80.2850,25.4112,-80.2850,8,,401677378,-131
Green,162055,Mk10,DS,1,0,0,,,10:17:03 18-Apr-2017,NP,B,25.4073,-80.2898,25.4073,-80.2898,8,,401677379,-131
Green,162055,Mk10,DS,2,0,2,44,44,10:34:43 18-Apr-2017,SR,B,25.3976,-80.2643,25.3976,-80.2643,6,,401677383,-132
Green,162055,Mk10,DS,2,0,1,150,150,10:56:51 18-Apr-2017,NK,B,25.4099,-80.2608,25.4099,-80.2608,6,,401677381,-124
Green,162055,Mk10,DS,1,0,1,,,12:13:33 18-Apr-2017,NN,B,25.4097,-80.2602,25.4097,-80.2602,8,,401677382,-131
Green,162055,Mk10,DS,1,0,0,,,12:39:55 18-Apr-2017,NK,B,25.4110,-80.2649,25.4110,-80.2649,6,,401677373,-130
Green,162055,Mk10,DS,1,0,0,,,13:14:39 18-Apr-2017,MA,B,25.4022,-80.2658,25.4022,-80.2658,8,,401677374,-134
Green,162055,Mk10,DS,1,0,1,,,13:49:11 18-Apr-2017,NN,B,25.4008,-80.2669,25.4008,-80.2669,8,,401677377,-132
Green,162055,Mk10,DS,1,0,1,,,14:51:37 18-Apr-2017,MA,B,25.3982,-80.2681,25.3982,-80.2681,8,,401677374,-121
Green,162055,Mk10,DS,3,0,1,174,96,16:35:53 18-Apr-2017,MA,A,25.4034,-80.2972,25.4034,-80.2972,8,,401677374,-124
Green,162055,Mk10,DS,1,0,1,,,22:10:42 18-Apr-2017,NK,B,25.3988,-80.3202,25.3988,-80.3202,8,,401677364,-130
Green,162055,Mk10,DS,3,0,3,202,140,23:22:29 18-Apr-2017,NN,A,25.4057,-80.2933,25.4057,-80.2933,8,,401677372,-126
Green,162055,Mk10,DS,1,0,0,,,23:40:43 18-Apr-2017,NK,B,25.4056,-80.2933,25.4056,-80.2933,6,,401677372,-137
Green,162055,Mk10,DS,1,0,0,,,00:30:59 19-Apr-2017,SR,B,25.4067,-80.2926,25.4067,-80.2926,8,,401677371,-127
Green,162055,Mk10,DS,1,0,1,,,01:10:47 19-Apr-2017,NN,B,25.4078,-80.2922,25.4078,-80.2922,8,,401677373,-133
Green,162055,Mk10,DS,2,0,1,324,324,02:04:35 19-Apr-2017,MA,B,25.4121,-80.2939,25.4121,-80.2939,8,,401677372,-125
Green,162055,Mk10,DS,1,0,1,,,03:03:21 19-Apr-2017,MB,B,25.4132,-80.2943,25.4132,-80.2943,8,,401677370,-132
Green,162055,Mk10,DS,1,0,1,,,08:30:58 19-Apr-2017,NP,B,25.4208,-80.2974,25.4208,-80.2974,8,,401677378,-134
Green,162055,Mk10,DS,1,0,1,,,09:53:28 19-Apr-2017,SR,B,25.4143,-80.2985,25.4143,-80.2985,8,,401677377,-135
Green,162055,Mk10,DS,1,0,1,,,10:10:26 19-Apr-2017,NP,B,25.4128,-80.2983,25.4128,-80.2983,6,,401677379,-135
Green,162055,Mk10,DS,1,0,1,,,10:26:02 19-Apr-2017,NK,B,25.4134,-80.2983,25.4134,-80.2983,6,,401677379,-137
Green,162055,Mk10,DS,3,0,0,50,45,11:34:14 19-Apr-2017,SR,A,25.4133,-80.2876,25.4133,-80.2876,8,,401677379,-121
Green,162055,Mk10,DS,2,0,1,394,394,11:51:02 19-Apr-2017,NN,B,25.4096,-80.2966,25.4096,-80.2966,6,,401677378,-123
Green,162055,Mk10,DS,2,0,0,279,279,12:06:25 19-Apr-2017,NK,B,25.4093,-80.2968,25.4093,-80.2968,6,,401677378,-124
Green,162055,Mk10,DS,1,0,1,,,13:36:27 19-Apr-2017,NN,B,25.4103,-80.2930,25.4103,-80.2930,8,,401677379,-132
Green,162055,Mk10,DS,1,0,1,,,14:37:51 19-Apr-2017,MA,B,25.4109,-80.2916,25.4109,-80.2916,8,,401677377,-126
Green,162055,Mk10,DS,1,0,0,,,16:09:57 19-Apr-2017,MA,B,25.4118,-80.2886,25.4118,-80.2886,8,,401677376,-130
Green,162055,Mk10,DS,2,0,1,129,129,19:40:52 19-Apr-2017,NP,B,25.4076,-80.2973,25.4076,-80.2973,8,,401677365,-128
Green,162055,Mk10,DS,1,0,0,,,21:21:34 19-Apr-2017,NP,B,25.4067,-80.2981,25.4067,-80.2981,8,,401677367,-130
Green,162055,Mk10,DS,2,0,2,206,206,22:19:39 19-Apr-2017,SR,B,25.4050,-80.3003,25.4050,-80.3003,8,,401677367,-132
Green,162055,Mk10,DS,2,0,2,256,256,23:14:31 19-Apr-2017,NN,B,25.4064,-80.3000,25.4064,-80.3000,8,,401677370,-127
