DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
Green,162055,,Transmission,Mk10,1,02:12:40 03-Apr-2017,02:13:10 03-Apr-2017,Surface,,,,,29,31,20,10
Green,162055,,Transmission,Mk10,1,03:06:00 03-Apr-2017,03:50:00 03-Apr-2017,Message,10,,,,2630.000000,2650.000000,,
Green,162055,,Transmission,Mk10,1,03:06:00 03-Apr-2017,03:11:50 03-Apr-2017,Dive,1,Square,3.5,3.5,349,351,,
Green,162055,,Transmission,Mk10,1,03:11:50 03-Apr-2017,03:12:00 03-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,03:12:00 03-Apr-2017,03:21:50 03-Apr-2017,Dive,1,Square,3.5,3.5,589,591,,
Green,162055,,Transmission,Mk10,1,03:21:50 03-Apr-2017,03:22:10 03-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,03:22:10 03-Apr-2017,03:32:20 03-Apr-2017,Dive,1,Square,3.5,3.5,609,611,,
Green,162055,,Transmission,Mk10,1,03:32:20 03-Apr-2017,03:32:40 03-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,03:32:40 03-Apr-2017,03:41:30 03-Apr-2017,Dive,1,Square,3.5,3.5,529,531,,
Green,162055,,Transmission,Mk10,1,03:41:30 03-Apr-2017,03:41:50 03-Apr-2017,Surface,,,,,19,21,20,0
Green,162055,,Transmission,Mk10,1,03:41:50 03-Apr-2017,03:49:50 03-Apr-2017,Dive,1,Square,3.0,3.0,479,481,,
Green,162055,,Transmission,Mk10,1,03:49:50 03-Apr-2017,03:50:00 03-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,04:48:00 03-Apr-2017,05:38:20 03-Apr-2017,Message,10,,,,3010.000000,3030.000000,,
Green,162055,,Transmission,Mk10,1,04:48:00 03-Apr-2017,04:59:00 03-Apr-2017,Dive,1,Square,3.5,3.5,659,661,,
Green,162055,,Transmission,Mk10,1,04:59:00 03-Apr-2017,04:59:30 03-Apr-2017,Surface,,,,,29,31,30,0
Green,162055,,Transmission,Mk10,1,04:59:30 03-Apr-2017,05:09:20 03-Apr-2017,Dive,1,Square,3.0,3.0,589,591,,
Green,162055,,Transmission,Mk10,1,05:09:20 03-Apr-2017,05:09:30 03-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,05:09:30 03-Apr-2017,05:18:30 03-Apr-2017,Dive,1,Square,3.0,3.0,539,541,,
Green,162055,,Transmission,Mk10,1,05:18:30 03-Apr-2017,05:18:40 03-Apr-2017,Surface,,,,,9,11,10,0
Green,162055,,Transmission,Mk10,1,05:18:40 03-Apr-2017,05:27:50 03-Apr-2017,Dive,1,Square,3.5,3.5,549,551,,
Green,162055,,Transmission,Mk10,1,05:27:50 03-Apr-2017,05:28:20 03-Apr-2017,Surface,,,,,29,31,30,0
