DeployID,Ptt,Instr,Count,Date,Disposition,Code
Julio Grande,195967,Mk10,24,20:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,21:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,22:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,24,23:00:00 06-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,00:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,01:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,02:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,03:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,04:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,05:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,06:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,07:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,08:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,09:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,10:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,11:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,12:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,13:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,14:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,15:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,16:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,17:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,18:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,19:00:00 07-Jan-2020,neither,2
Julio Grande,195967,Mk10,28,20:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,21:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,22:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,28,23:00:00 07-Jan-2020,deep,1
Julio Grande,195967,Mk10,22,00:00:00 08-Jan-2020,deep,1
Julio Grande,195967,Mk10,22,01:00:00 08-Jan-2020,deep,1
Julio Grande,195967,Mk10,22,02:00:00 08-Jan-2020,deep,1
Julio Grande,195967,Mk10,22,03:00:00 08-Jan-2020,deep,1
Julio Grande,195967,Mk10,22,04:00:00 08-Jan-2020,deep,1
Julio Grande,195967,Mk10,22,05:00:00 08-Jan-2020,deep,1
Julio Grande,195967,Mk10,22,06:00:00 08-Jan-2020,deep,1
Julio Grande,195967,Mk10,22,07:00:00 08-Jan-2020,neither,2
Julio Grande,195967,Mk10,22,08:00:00 08-Jan-2020,deep,1
