Platform ID ,Platform,Prg No.,Latitude,Lat (DD),Longitude,Lon (DD),Heading,Speed,Loc. quality,Loc. date,Altitude,Pass,Sat.,Frequency,Msg Date,Comp.,Alarm,Format name,PTT CURRENT ,BATTERY ,NB OF ,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Msg,> - 120 DB,Best level,Delta freq.,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,,,,,,,,,,,,,,,,
144320,,14230,"26ç 11' 19""N",26.18861111,"51ç 12' 32""E",51.20888889,,,B,08.01.15 10:28:54,0,203,NP,401677439.6,08.01.15 10:27:13,1,N,FORMAT TEMPL. 31X8-A1 ,"51ç 12' 32""E","26ç 11' 19""N","51ç 12' 32""E","26ç 11' 19""N",8,3,2,0,-122,677439.6,2833,64788,123,61,8005,,,,4,78,0,0,0,0,0,248,56,5,0,32,0,0,121,,,,,,,,,,,,,,,,
144320,,14230,"26ç 11' 46""N",26.19611111,"51ç 11' 39""E",51.19416667,,,A,16.01.15 18:09:55,0,184,MA,401677435.8,16.01.15 18:09:23,1,N,FORMAT TEMPL. 31X8-A1 ,"51ç 11' 39""E","26ç 11' 46""N","51ç 11' 39""E","26ç 11' 46""N",0,3,3,1,-117,677435.8,464,4830,44,98,694,,,,5,168,0,0,0,0,235,197,0,0,0,0,0,21,162,,,,,,,,,,,,,,,,
144320,,14230,"26Á 11' 45""N",26.19583333,"51Á 12' 22""E",51.20611111,,,B,03.02.15 18:38:58,0,51,MA,401677435.8,03.02.15 18:38:33,1,N,FORMAT TEMPL. 31X8-A1 ,"51Á 12' 22""E","26Á 11' 45""N","51Á 12' 22""E","26Á 11' 45""N",0,3,2,1,-119,677435.8,1560,8176,297,142,4391,,,,8,46,0,0,0,0,0,252,70,2,0,0,0,0,134,,,,,,,,,,,,,,,,
144320,,14230,"26Á 11' 47""N",26.19638889,"51Á 16' 34""E",51.27611111,,,A,14.02.15 10:19:20,0,416,NP,401677424,14.02.15 10:21:02,1,N,FORMAT TEMPL. 31X8-A1 ,"51Á 16' 34""E","26Á 11' 47""N","51Á 16' 34""E","26Á 11' 47""N",0,3,3,0,-122,677424,499,8640,28,81,1365,,,,9,168,0,0,0,24,178,113,16,143,223,2,247,116,150,,,,,,,,,,,,,,,,
144320,,14230,"26Á 11' 33""N",26.1925,"51Á 11' 07""E",51.18527778,,,1,17.02.15 09:47:21,0,472,NP,401677422.9,17.02.15 09:50:16,1,N,FORMAT TEMPL. 31X8-A1 ,"51Á 11' 07""E","26Á 11' 33""N","51Á 11' 07""E","26Á 11' 33""N",50,3,5,0,-122,677422.9,518,1155,231,67,243,,,,9,168,0,0,0,0,0,0,232,38,0,0,0,74,102,,,,,,,,,,,,,,,,
144320,,14230,"26¡ 11' 29""N",26.19138889,"51¡ 12' 56""E",51.21555556,,,B,23.02.15 10:17:58,0,0,NP,401677434,23.02.15 10:17:59,1,N,FORMAT TEMPL. 31X8-A1 ,"51¡ 12' 56""E","26¡ 11' 29""N","51¡ 12' 56""E","26¡ 11' 29""N",0,3,1,0,-133,677434,5561,9916,3119,86,15728,,,,10,40,0,0,0,0,0,0,147,214,15,4,50,171,34,,,,,,,,,,,,,,,,
144320,,14230,"26¡ 11' 48""N",26.19666667,"51¡ 11' 46""E",51.19611111,,,B,23.02.15 22:54:53,0,0,NP,401677434.4,23.02.15 22:54:54,1,N,FORMAT TEMPL. 31X8-A1 ,"51¡ 11' 46""E","26¡ 11' 48""N","51¡ 11' 46""E","26¡ 11' 48""N",0,2,1,0,-132,677434.4,5301,29836,941,103,14988,,,,10,248,0,0,2,5,79,34,60,91,115,222,3,123,99,,,,,,,,,,,,,,,,
144320,,14230,"26¡ 11' 58""N",26.19944444,"51¡ 11' 59""E",51.19972222,,,B,28.02.15 18:21:17,0,178,MA,401677426.4,28.02.15 18:19:49,1,N,FORMAT TEMPL. 31X8-A1 ,"51¡ 11' 59""E","26¡ 11' 58""N","51¡ 11' 59""E","26¡ 11' 58""N",0,2,2,0,-125,677426.4,2723,150736,49,112,7691,,,,11,136,0,0,0,0,0,76,233,0,0,0,0,0,56,,,,,,,,,,,,,,,,
144320,,14230,"26¡ 11' 58""N",26.19944444,"51¡ 11' 59""E",51.19972222,,,B,28.02.15 18:21:17,0,178,MA,401677426.4,28.02.15 18:22:47,1,N,FORMAT TEMPL. 31X8-A1 ,"51¡ 11' 59""E","26¡ 11' 58""N","51¡ 11' 59""E","26¡ 11' 58""N",0,2,2,0,-125,677426.4,2723,150736,49,112,7691,,,,10,206,0,0,0,18,203,250,28,0,0,0,0,0,53,,,,,,,,,,,,,,,,
144320,,14230,"26¡ 11' 05""N",26.18472222,"51¡ 12' 01""E",51.20027778,,,B,05.03.15 10:06:08,0,59,NP,401677427.6,05.03.15 10:05:39,1,N,FORMAT TEMPL. 31X8-A1 ,"51¡ 12' 01""E","26¡ 11' 05""N","51¡ 12' 01""E","26¡ 11' 05""N",0,3,2,0,-128,677427.6,8042,37581,1720,99,22746,,,,12,78,0,0,0,0,0,243,74,17,134,49,211,243,101,,,,,,,,,,,,,,,,
144320,,14230,"26¡ 11' 05""N",26.18472222,"51¡ 12' 01""E",51.20027778,,,B,05.03.15 10:06:08,0,59,NP,401677427.6,05.03.15 10:06:38,1,N,FORMAT TEMPL. 31X8-A1 ,"51¡ 12' 01""E","26¡ 11' 05""N","51¡ 12' 01""E","26¡ 11' 05""N",0,3,2,0,-128,677427.6,8042,37581,1720,99,22746,,,,12,104,0,0,0,0,0,30,240,0,0,0,0,0,126,,,,,,,,,,,,,,,,
144320,,14230,"26¡ 11' 31""N",26.19194444,"51¡ 12' 05""E",51.20138889,,,A,08.03.15 11:18:52,0,360,NP,401677427.8,08.03.15 11:15:46,1,N,FORMAT TEMPL. 31X8-A1 ,"51¡ 12' 05""E","26¡ 11' 31""N","51¡ 12' 05""E","26¡ 11' 31""N",0,3,3,0,-125,677427.8,156,249,97,128,242,,,,12,142,0,0,0,0,0,7,255,20,10,0,0,0,76,,,,,,,,,,,,,,,,
144320,,14230,"26¡ 11' 31""N",26.19194444,"51¡ 12' 05""E",51.20138889,,,A,08.03.15 11:18:52,0,360,NP,401677427.8,08.03.15 11:19:06,1,N,FORMAT TEMPL. 31X8-A1 ,"51¡ 12' 05""E","26¡ 11' 31""N","51¡ 12' 05""E","26¡ 11' 31""N",0,3,3,0,-125,677427.8,156,249,97,128,242,,,,12,168,0,0,0,0,0,112,142,178,185,154,159,146,232,,,,,,,,,,,,,,,,
144320,,14230,"26¡ 11' 31""N",26.19194444,"51¡ 12' 05""E",51.20138889,,,A,08.03.15 11:18:52,0,360,NP,401677427.8,08.03.15 11:21:46,1,N,FORMAT TEMPL. 31X8-A1 ,"51¡ 12' 05""E","26¡ 11' 31""N","51¡ 12' 05""E","26¡ 11' 31""N",0,3,3,0,-125,677427.8,156,249,97,128,242,,,,12,174,0,0,0,0,0,207,253,99,0,0,4,4,119,,,,,,,,,,,,,,,,
