DeployID,Ptt,DepthSensor,Source,Instr,Day,Time,LocationQuality,Latitude,Longitude,Depth,DRange,Temperature,TRange,Activity,ARange
Green,142698,,Transmission,Mk10,12-Feb-2017,10:50:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,11:00:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,11:10:00,,,,9.0,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,11:20:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,11:30:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,11:40:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,11:50:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,12:00:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,12:10:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,12:20:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,12:30:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,12:40:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,12:50:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,13:00:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,13:10:00,,,,10.5,0.25,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,13:20:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,13:30:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,13:40:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,13:50:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,14:00:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,14:10:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,14:20:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,14:30:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,14:40:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,14:50:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,15:00:00,,,,10.5,0.25,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,15:10:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,15:20:00,,,,10.5,0.25,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,15:30:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,15:40:00,,,,8.5,0.50,,,,
Green,142698,,Transmission,Mk10,12-Feb-2017,15:50:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,00:00:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,00:10:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,00:20:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,00:30:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,00:40:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,00:50:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,01:00:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,01:10:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,01:20:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,01:30:00,,,,8.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,01:40:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,01:50:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,02:00:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,02:10:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,02:20:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,02:30:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,02:40:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,02:50:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,03:00:00,,,,8.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,03:10:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,03:20:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,03:30:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,03:40:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,03:50:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,04:00:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,04:10:00,,,,10.0,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,04:20:00,,,,10.5,0.25,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,04:30:00,,,,9.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,04:40:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,04:50:00,,,,10.5,0.50,,,,
Green,142698,,Transmission,Mk10,13-Feb-2017,05:00:00,,,,10.0,0.50,,,,
